FIPS,population,cases,new_cases_last_week,new_cases_2_week_ago,deaths
12031,957755,75731,3877,7132,856
12033,318316,27733,1820,2419,448
12035,115081,4764,341,469,53
12037,12125,1127,79,95,4
12039,45660,4799,231,394,65
12041,18582,1133,33,70,28
12043,13811,845,27,30,12
12045,13639,1561,76,109,31
12047,14428,1428,61,90,15
12049,26937,2417,105,126,22
12051,42022,3845,202,221,53
12053,193920,9073,540,789,322
12055,106221,5933,301,390,232
12057,1471968,93487,5270,6710,1197
12059,19617,1975,72,211,32
12061,159923,8899,612,1000,196
12063,46414,5360,258,304,126
12065,14246,1199,58,106,18
12067,8422,1498,27,26,23
12069,367118,19713,1380,1899,378
12071,770577,48778,2674,3648,730
12073,293582,23922,1391,1939,203
12075,41503,2350,162,227,22
12077,8354,941,60,82,14
12079,18493,1715,61,75,35
12081,403253,26267,1133,1979,461
12083,365579,22424,1446,1900,553
12085,161000,9060,360,584,228
12086,2716940,347965,16316,21554,4622
12087,74228,4993,256,245,37
12089,88625,6341,466,720,73
12091,210738,15282,775,1091,263
12093,42168,3023,198,220,56
12095,1393452,94273,5576,7882,850
12097,375751,30920,1814,2429,331
12099,1496770,98692,5397,6293,2059
12101,553947,27190,1707,2236,466
12103,974996,54924,3050,4404,1202
12105,724777,46137,2774,4108,895
12107,74521,5058,417,416,91
12109,264672,16763,1063,1747,140
12111,328297,17882,1175,1421,459
12113,184313,13958,932,1401,178
12115,433742,22895,1269,2046,563
12117,471826,22161,1309,1897,340
12119,132420,6485,377,745,157
12121,44417,4622,160,313,101
12123,21569,2296,101,142,30
12125,15237,1614,40,72,70
12127,553284,27790,1820,2490,478
12129,33739,2685,175,248,33
12131,74071,5874,281,488,60
12133,25473,2282,103,167,30
13001,18386,1613,47,97,44
13003,8165,718,16,41,12
13005,11164,939,33,63,22
13007,3038,145,8,8,6
13009,44890,3273,130,167,77
13011,19234,1368,72,111,23
13013,83240,6428,590,607,82
13015,107738,8118,542,639,140
13017,16700,1366,46,79,44
13019,19397,910,25,60,24
13021,153159,11005,587,737,269
13023,12873,711,24,25,32
13025,19109,734,22,38,22
13027,15457,838,16,26,31
13029,39627,2018,95,102,19
13031,79608,4241,124,211,41
13033,22383,1421,103,76,21
13035,24936,1631,104,147,52
13037,6189,406,39,31,12
13039,54666,2594,134,166,21
13043,10803,679,21,31,28
13045,119992,6018,284,270,103
13047,67580,4082,266,370,44
13049,13392,934,34,47,15
13051,289430,15020,805,876,264
13053,10907,2198,8,28,1
13055,24789,1835,91,116,47
13057,258773,16256,1131,1388,168
13059,128331,10231,570,696,78
13061,2834,164,5,7,3
13063,292256,16222,1152,1076,255
13065,6618,623,14,40,16
13067,760141,46363,3112,3795,621
13069,43273,3826,72,228,98
13071,45600,2793,77,121,48
